_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page,check_this_box_if_there_is_text_in_the_photo,rate_the_grammarspelling_of_the_translation,orig__channel,orig__city,orig__country,orig__created_at,orig__id,orig__ip,orig__region,orig__started_at,orig__tainted,orig__trust,orig__unit_id,orig__worker_id,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page_gold,check_this_box_if_there_is_text_in_the_photo_gold,is_there_text_on_the_page,is_there_text_on_the_page_gold,rate_the_grammarspelling_of_the_translation_gold,translate_the_text_in_the_photo_as_accurately_as_possible,translate_the_text_in_the_photo_as_accurately_as_possible_gold,url
941231876,4/26/2016 21:01:02,1969604363,4/26/2016 21:00:51,false,neodev,0.9292,31151596,HRV,21,Zagreb,93.141.96.1,,,,cf_internal,Philadelphia,USA,4/25/2016 14:39:48,1968501971,165.123.199.2,PA,4/25/2016 14:39:43,false,0.9716,939573145,37039927,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231876,4/26/2016 21:02:52,1969605676,4/26/2016 21:01:18,false,clixsense,0.8075,28588508,DZA,"","",41.97.123.59,,check_this_box_if_there_is_text_in_the_photo,9,cf_internal,Philadelphia,USA,4/25/2016 14:39:48,1968501971,165.123.199.2,PA,4/25/2016 14:39:43,false,0.9716,939573145,37039927,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231876,4/26/2016 21:03:24,1969606059,4/26/2016 21:01:14,false,neodev,0.8675,33484691,VEN,25,Caracas,190.201.140.81,,check_this_box_if_there_is_text_in_the_photo,6,cf_internal,Philadelphia,USA,4/25/2016 14:39:48,1968501971,165.123.199.2,PA,4/25/2016 14:39:43,false,0.9716,939573145,37039927,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231876,4/26/2016 21:04:48,1969607106,4/26/2016 21:01:12,false,neodev,0.7858,32193964,MKD,"","",85.30.127.156,,check_this_box_if_there_is_text_in_the_photo,5,cf_internal,Philadelphia,USA,4/25/2016 14:39:48,1968501971,165.123.199.2,PA,4/25/2016 14:39:43,false,0.9716,939573145,37039927,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231876,4/26/2016 21:27:08,1969623258,4/26/2016 21:01:47,false,neodev,0.7208,13396426,VEN,15,Santa Teresa,190.38.163.149,,,,cf_internal,Philadelphia,USA,4/25/2016 14:39:48,1968501971,165.123.199.2,PA,4/25/2016 14:39:43,false,0.9716,939573145,37039927,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231877,4/26/2016 21:04:39,1969606963,4/26/2016 21:04:28,false,neodev,0.8675,33484691,VEN,25,Caracas,190.201.140.81,,,,cf_internal,Philadelphia,USA,4/25/2016 16:40:22,1968554287,130.91.191.113,PA,4/25/2016 16:40:13,false,0.9833,939573145,37063066,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231877,4/26/2016 21:05:57,1969607947,4/26/2016 21:04:45,false,clixsense,0.8552,34805760,BGR,65,Yambol,87.121.119.118,,,,cf_internal,Philadelphia,USA,4/25/2016 16:40:22,1968554287,130.91.191.113,PA,4/25/2016 16:40:13,false,0.9833,939573145,37063066,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231877,4/26/2016 21:06:07,1969608033,4/26/2016 21:04:35,false,clixsense,0.8075,28588508,DZA,"","",41.97.123.59,,check_this_box_if_there_is_text_in_the_photo,4,cf_internal,Philadelphia,USA,4/25/2016 16:40:22,1968554287,130.91.191.113,PA,4/25/2016 16:40:13,false,0.9833,939573145,37063066,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231877,4/26/2016 21:08:19,1969609749,4/26/2016 21:04:20,false,clixsense,0.7208,35792505,SRB,00,Nis,94.228.227.207,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page,check_this_box_if_there_is_text_in_the_photo,1,cf_internal,Philadelphia,USA,4/25/2016 16:40:22,1968554287,130.91.191.113,PA,4/25/2016 16:40:13,false,0.9833,939573145,37063066,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941231877,4/26/2016 21:37:51,1969630431,4/26/2016 21:34:37,false,neodev,0.6546,33568303,VEN,23,Cabimas,190.77.7.36,,check_this_box_if_there_is_text_in_the_photo,1,cf_internal,Philadelphia,USA,4/25/2016 16:40:22,1968554287,130.91.191.113,PA,4/25/2016 16:40:13,false,0.9833,939573145,37063066,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
